Continent,Region/Country,Variable,Year,Quantity (per 1000 hl)
Global,Global,Production,2004, 295 452
Global,Global,Production,2018, 294 641
Global,Global,Production,2013, 292 217
Global,Global,Production,2006, 282 817
Global,Global,Production,1999, 279 578
Global,Global,Production,2015, 277 100
Global,Global,Production,2000, 276 946
Global,Global,Production,2005, 276 317
Global,Global,Production,2016, 270 545
Global,Global,Production,2014, 270 453
Global,Global,Production,1996, 269 627
Global,Global,Production,2009, 269 254
Global,Global,Production,2008, 269 133
Global,Global,Production,2007, 268 074
Global,Global,Production,2011, 267 733
Global,Global,Production,2001, 263 316
Global,Global,Production,1997, 262 367
Global,Global,Production,2022, 262 107
Global,Global,Production,2020, 262 059
Global,Global,Production,2003, 261 926
Global,Global,Production,2010, 261 800
Global,Global,Production,2012, 260 642
Global,Global,Production,2021, 260 488
Global,Global,Production,1998, 259 544
Global,Global,Production,2019, 257 764
Global,Global,Production,2002, 255 318
Global,Global,Production,1995, 250 874
Global,Global,Consumption,2007, 250 096
Global,Global,Production,2017, 248 300
Global,Global,Consumption,2008, 247 362
Global,Global,Consumption,2017, 246 189
Global,Global,Consumption,2016, 244 630
Global,Global,Consumption,2012, 244 620
Global,Global,Consumption,2013, 244 433
Global,Global,Consumption,2006, 242 595
Global,Global,Consumption,2011, 242 191
Global,Global,Consumption,2009, 241 975
Global,Global,Consumption,2015, 241 418
Global,Global,Consumption,2018, 241 062
Global,Global,Consumption,2010, 240 280
Global,Global,Consumption,2005, 239 356
Global,Global,Consumption,2014, 239 089
Global,Global,Consumption,2003, 238 947
Global,Global,Consumption,2004, 238 106
Global,Global,Consumption,2019, 236 672
Global,Global,Consumption,2021, 234 033
Global,Global,Consumption,2022, 231 600
Global,Global,Consumption,2020, 231 414
Global,Global,Consumption,2002, 230 038
Global,Global,Consumption,1998, 228 321
Global,Global,Consumption,2001, 227 645
Global,Global,Consumption,1995, 227 425
Global,Global,Consumption,1999, 225 747
Global,Global,Consumption,2000, 225 741
Global,Global,Consumption,1997, 225 138
Global,Global,Consumption,1996, 221 646
Europe,France,Production,1999, 60 535
Europe,Italy,Production,1996, 58 772
Europe,France,Production,2000, 57 541
Europe,France,Production,2004, 57 386
Europe,France,Production,1996, 57 047
Europe,Italy,Production,1999, 56 454
Europe,Italy,Production,1995, 55 702
Europe,Italy,Production,2018, 54 783
Europe,France,Production,1995, 54 354
Europe,Italy,Production,1998, 54 188
Europe,Italy,Production,2013, 54 029
Europe,France,Production,1997, 53 561
Europe,France,Production,2001, 53 389
Europe,France,Production,1998, 52 671
Europe,France,Production,2006, 52 127
Europe,France,Production,2005, 52 105
Europe,Italy,Production,2006, 52 036
Europe,Italy,Production,2000, 51 620
Europe,Italy,Production,2016, 50 920
Europe,Italy,Production,1997, 50 894
Europe,France,Production,2011, 50 757
Europe,Italy,Production,2005, 50 566
Europe,France,Production,2002, 50 353
Europe,Italy,Production,2021, 50 232
Europe,Italy,Production,2015, 49 996
Europe,Italy,Production,2004, 49 935
Europe,Italy,Production,2001, 49 865
Europe,Italy,Production,2022, 49 843
Europe,France,Production,2018, 49 186
Europe,Italy,Production,2020, 49 066
Europe,Italy,Production,2010, 48 525
Europe,France,Production,2015, 47 775
Europe,Italy,Production,2019, 47 533
Europe,Italy,Production,2009, 47 314
Europe,Italy,Production,2008, 46 970
Europe,France,Production,2020, 46 673
Europe,France,Production,2014, 46 534
Europe,France,Production,2003, 46 360
Europe,France,Production,2009, 46 269
Europe,Italy,Production,2007, 45 981
Europe,France,Production,2022, 45 817
Europe,France,Production,2023, 45 768
Europe,France,Production,2007, 45 672
Europe,Italy,Production,2012, 45 616
Europe,France,Production,2016, 45 367
Europe,Spain,Production,2013, 45 308
Europe,Spain,Production,2018, 44 933
Europe,France,Production,2010, 44 381
Europe,Italy,Production,2014, 44 229
Europe,Italy,Production,2023, 43 900
Europe,Spain,Production,2004, 42 988
Europe,Italy,Production,2011, 42 772
Europe,France,Production,2008, 42 654
Europe,Italy,Production,2002, 42 507
Europe,Italy,Production,2017, 42 500
Europe,France,Production,2019, 42 193
Europe,France,Production,2013, 42 134
Europe,Spain,Production,2003, 41 843
Europe,Italy,Production,2003, 41 807
Europe,Spain,Production,2000, 41 692
Europe,France,Production,2012, 41 548
Europe,Spain,Production,2020, 40 949
Europe,Spain,Production,2016, 39 970
Europe,Spain,Production,2014, 39 494
Europe,Spain,Production,2006, 38 273
Europe,Spain,Production,2015, 37 703
Europe,France,Production,2021, 37 643
Europe,France,Production,2017, 36 605
Europe,France,Consumption,1995, 36 515
Europe,Spain,Production,2007, 36 408
Europe,France,Consumption,1998, 36 330
Europe,Spain,Production,2005, 36 158
Europe,Spain,Production,2009, 36 093
Europe,Spain,Production,2008, 35 913
Europe,Spain,Production,2022, 35 703
Europe,Italy,Consumption,1995, 35 623
Europe,France,Consumption,1997, 35 500
Europe,Spain,Production,2021, 35 471
